iter	Passed	Remaining
477	661	722
478	662	720
479	663	718
480	664	716
481	665	714
482	666	713
483	667	711
484	668	710
485	669	708
486	670	706
487	671	704
488	672	702
489	674	702
490	675	700
491	676	698
492	678	697
493	679	695
494	679	693
495	680	691
496	681	689
497	682	687
498	683	685
499	684	684
500	684	682
501	685	680
502	686	678
503	688	677
504	689	675
505	690	673
506	691	671
507	692	670
508	692	668
509	693	666
510	694	664
511	695	662
512	696	661
513	697	659
514	698	657
515	699	655
516	699	653
517	700	652
518	701	650
519	703	649
520	704	647
521	705	645
522	706	643
523	706	642
524	707	640
525	708	638
526	709	636
527	710	635
528	711	633
529	712	631
530	712	629
531	713	627
532	714	626
533	715	624
534	716	623
535	718	621
536	719	619
537	719	618
538	720	616
539	721	614
540	722	613
541	723	611
542	724	609
543	725	607
544	726	606
545	726	604
546	727	602
547	728	600
548	729	599
549	730	597
550	731	596
551	732	594
552	733	593
553	734	591
554	735	589
555	736	588
556	737	586
557	738	584
558	739	583
559	739	581
560	740	579
561	741	578
562	742	576
563	743	574
564	744	572
565	745	571
566	746	570
567	747	568
568	748	567
569	749	565
570	750	563
571	751	562
572	752	560
573	753	558
574	753	557
575	754	555
576	755	554
577	756	552
578	757	550
579	758	549
580	759	547
581	760	546
582	761	544
583	762	543
584	763	541
585	765	541
586	768	540
587	769	539
588	770	537
589	771	536
590	772	534
591	773	533
592	775	532
593	776	530
594	777	529
595	778	527
596	779	526
597	780	524
598	781	523
599	782	521
600	782	519
601	783	518
602	784	516
603	785	515
604	786	513
605	787	511
606	788	510
607	789	509
608	790	507
609	791	506
610	792	504
611	793	503
612	794	501
613	795	499
614	796	498
615	797	496
616	797	495
617	798	493
618	799	492
619	800	490
620	801	489
621	802	487
622	803	485
623	804	484
624	805	483
625	806	481
626	807	480
627	808	478
628	809	477
629	809	475
630	810	474
631	811	472
632	812	471
633	813	469
634	814	468
635	815	466
636	815	464
637	816	463
638	818	462
639	819	460
640	820	459
641	821	457
642	822	456
643	822	454
644	823	453
645	824	451
646	825	450
647	826	448
648	827	447
649	828	445
650	828	444
651	829	442
652	830	441
653	831	439
654	832	438
655	834	437
656	835	435
657	835	434
658	836	432
659	837	431
660	838	429
661	839	428
662	840	427
663	841	425
664	841	424
665	842	422
666	843	421
667	844	419
668	845	418
669	846	417
670	847	415
671	848	414
672	849	412
673	851	411
674	852	410
675	853	409
676	854	407
677	855	406
678	856	404
679	857	403
680	857	401
681	858	400
682	859	399
683	860	397
684	862	396
685	863	395
686	863	393
687	864	392
688	865	390
689	866	389
690	867	387
691	868	386
692	869	385
693	870	383
694	871	382
695	871	380
696	872	379
697	873	377
698	874	376
699	875	375
700	876	374
701	877	372
702	879	371
703	880	370
704	881	368
705	881	367
706	882	365
707	883	364
708	884	363
709	885	361
710	886	360
711	887	359
712	892	359
713	893	358
714	894	356
715	895	355
716	896	353
717	897	352
718	898	350
719	898	349
720	899	348
721	900	346
722	901	345
723	902	344
724	903	342
725	905	341
726	906	340
727	907	338
728	908	337
729	909	336
730	909	334
731	910	333
732	911	332
733	912	330
734	913	329
735	914	327
736	915	326
737	915	325
738	916	323
739	917	322
740	918	321
741	920	319
742	921	318
743	922	317
744	922	315
745	923	314
746	924	313
747	925	311
748	926	310
749	927	309
750	928	307
751	929	306
752	930	305
753	930	303
754	931	302
755	932	301
756	934	299
757	935	298
758	936	297
759	937	295
760	938	294
761	938	293
762	939	291
763	940	290
764	941	289
765	942	287
766	943	286
767	944	285
768	945	283
769	945	282
770	946	281
771	947	279
772	949	278
773	950	277
774	951	276
775	952	274
776	955	274
777	956	273
778	960	272
779	961	271
780	963	270
781	965	269
782	966	267
783	967	266
784	968	265
785	969	263
786	969	262
787	970	261
788	971	259
789	972	258
790	973	257
791	974	255
792	975	254
793	975	253
794	976	251
795	978	250
796	979	249
797	980	248
798	982	247
799	983	245
800	984	244
801	986	243
802	987	242
803	989	241
804	991	240
805	993	239
806	995	237
807	996	236
808	997	235
809	999	234
810	1000	233
811	1002	232
812	1003	230
813	1004	229
814	1005	228
815	1007	227
816	1009	226
817	1012	225
818	1016	224
819	1017	223
820	1019	222
821	1020	220
822	1021	219
823	1023	218
824	1025	217
825	1027	216
826	1028	215
827	1030	214
828	1032	212
829	1035	212
830	1036	210
831	1041	210
832	1044	209
833	1045	208
834	1047	206
835	1048	205
836	1049	204
837	1052	203
838	1054	202
839	1055	201
840	1056	199
841	1057	198
842	1058	197
843	1059	195
844	1060	194
845	1061	193
846	1062	191
847	1063	190
848	1063	189
849	1064	187
850	1065	186
851	1066	185
852	1068	184
853	1068	182
854	1069	181
855	1070	180
856	1072	178
857	1073	177
858	1074	176
859	1075	175
860	1076	173
861	1077	172
862	1078	171
863	1079	169
864	1080	168
865	1081	167
866	1082	166
867	1084	164
868	1085	163
869	1086	162
870	1086	160
871	1087	159
872	1088	158
873	1089	157
874	1090	155
875	1091	154
876	1091	153
877	1092	151
878	1093	150
879	1094	149
880	1095	147
881	1097	146
882	1098	145
883	1099	144
884	1100	142
885	1101	141
886	1101	140
887	1102	139
888	1103	137
889	1104	136
890	1105	135
891	1106	133
892	1107	132
893	1108	131
894	1108	130
895	1109	128
896	1111	127
897	1112	126
898	1113	125
899	1114	123
900	1115	122
901	1116	121
902	1117	120
903	1118	118
904	1119	117
905	1119	116
906	1121	114
907	1121	113
908	1122	112
909	1123	111
910	1124	109
911	1125	108
912	1126	107
913	1127	106
914	1128	104
915	1129	103
